,Babel El Mandeb,Strait Of Hormuz,Panama Canal,Suez Canal,Cape Of Good Hope,Strait Of Malacca
1970-01-01 00:00:00.000000312,17.0,47.0,19.0,21.0,12.0,23
1970-01-01 00:00:00.000000313,18.0,43.0,14.0,21.0,16.0,11
1970-01-01 00:00:00.000000314,18.0,54.0,14.0,16.0,9.0,9
1970-01-01 00:00:00.000000315,18.0,64.0,20.0,11.0,10.0,22
1970-01-01 00:00:00.000000316,17.0,50.0,14.0,16.0,8.0,14
1970-01-01 00:00:00.000000317,14.0,41.0,10.0,17.0,12.0,8
1970-01-01 00:00:00.000000318,20.0,37.0,8.0,18.0,10.0,23
1970-01-01 00:00:00.000000319,19.0,44.0,20.0,13.0,14.0,20
1970-01-01 00:00:00.000000320,18.0,51.0,18.0,22.0,6.0,17
1970-01-01 00:00:00.000000321,28.0,32.0,9.0,15.0,9.0,14
1970-01-01 00:00:00.000000322,24.0,40.0,23.0,11.0,9.0,17
1970-01-01 00:00:00.000000323,18.0,52.0,16.0,24.0,19.0,15
1970-01-01 00:00:00.000000324,24.0,38.0,11.0,12.0,11.0,17
1970-01-01 00:00:00.000000325,23.0,35.0,18.0,19.0,6.0,11
1970-01-01 00:00:00.000000326,15.0,53.0,16.0,18.0,7.0,17
1970-01-01 00:00:00.000000327,17.0,49.0,15.0,23.0,12.0,13
1970-01-01 00:00:00.000000328,22.0,38.0,15.0,18.0,11.0,11
1970-01-01 00:00:00.000000329,17.0,48.0,15.0,25.0,15.0,18
1970-01-01 00:00:00.000000330,15.0,50.0,15.0,17.0,6.0,24
1970-01-01 00:00:00.000000331,12.0,56.0,15.0,23.0,11.0,11
1970-01-01 00:00:00.000000332,19.0,48.0,12.0,13.0,7.0,14
1970-01-01 00:00:00.000000333,20.0,51.0,12.0,12.0,13.0,19
1970-01-01 00:00:00.000000334,19.0,37.0,16.0,19.0,5.0,18
1970-01-01 00:00:00.000000335,25.0,51.0,20.0,22.0,15.0,21
1970-01-01 00:00:00.000000336,21.0,48.0,19.0,19.0,9.0,13
1970-01-01 00:00:00.000000337,14.0,49.0,18.0,19.0,13.0,6
1970-01-01 00:00:00.000000338,22.0,46.0,13.0,19.0,17.0,22
1970-01-01 00:00:00.000000339,15.0,26.0,14.0,10.0,10.0,15
1970-01-01 00:00:00.000000340,20.0,46.0,14.0,24.0,10.0,22
1970-01-01 00:00:00.000000341,13.0,55.0,12.0,17.0,9.0,17
1970-01-01 00:00:00.000000342,15.0,42.0,15.0,22.0,10.0,20
1970-01-01 00:00:00.000000343,19.0,38.0,17.0,20.0,19.0,15
1970-01-01 00:00:00.000000344,25.0,39.0,13.0,16.0,13.0,11
1970-01-01 00:00:00.000000345,11.0,53.0,15.0,15.0,15.0,16
1970-01-01 00:00:00.000000346,15.0,54.0,9.0,16.0,7.0,16
1970-01-01 00:00:00.000000347,16.0,59.0,16.0,16.0,5.0,16
1970-01-01 00:00:00.000000348,21.0,58.0,17.0,16.0,11.0,10
1970-01-01 00:00:00.000000349,25.0,35.0,14.0,20.0,14.0,27
1970-01-01 00:00:00.000000350,19.0,51.0,17.0,18.0,10.0,19
1970-01-01 00:00:00.000000351,17.0,40.0,9.0,14.0,9.0,12
1970-01-01 00:00:00.000000352,17.0,45.0,14.0,20.0,7.0,20
