Date,Close,High,Low,Open,Volume,Return
2016-03-21,11235.7001953125,11254.849609375,11078.75,11141.2998046875,14647000,0.0129324704467082
2016-03-22,11217.5,11300.5,11140.4501953125,11244.7998046875,12069000,-0.0016198541253434895
2016-03-23,11198.2998046875,11237.400390625,11134.849609375,11213.75,12811000,-0.001711628733006454
2016-03-28,10960.0498046875,11243.4501953125,10919.5,11243.4501953125,13126000,-0.021275551124311787
2016-03-29,10665.25,10940.2998046875,10353.900390625,10940.2998046875,39464000,-0.026897670169474752
2016-03-30,10910.2001953125,10926.4501953125,10725.2998046875,10825.25,19601000,0.022967131132650476
2016-03-31,10989.150390625,11047.599609375,10938.0498046875,10948.5,20668000,0.007236365410271839
2016-04-01,10928.2998046875,10974.2998046875,10861.7001953125,10966.2001953125,9874000,-0.005537333076214179
2016-04-04,10978.0,10995.400390625,10910.25,10983.25,7107000,0.0045478433242820415
2016-04-05,10876.900390625,10986.25,10865.2998046875,10977.7998046875,10520000,-0.009209292163873228
2016-04-06,10905.5498046875,10928.4501953125,10814.650390625,10905.0,9719000,0.0026339685970824256
2016-04-07,10984.349609375,11084.400390625,10891.2001953125,10918.5498046875,11275000,0.007225660888149799
2016-04-08,11012.5,11064.7001953125,10970.7998046875,10970.7998046875,7586000,0.0025627726379879867
2016-04-11,11024.75,11070.7001953125,10920.2998046875,11064.0498046875,9528000,0.0011123723041996936
2016-04-12,11132.650390625,11161.900390625,11062.849609375,11062.849609375,11649000,0.009787105433229693
2016-04-13,11225.75,11253.5498046875,11151.5498046875,11185.599609375,11187000,0.008362753352373353
2016-04-18,11317.900390625,11335.2998046875,11191.650390625,11228.5498046875,11760000,0.008208840444959176
2016-04-20,11267.5,11362.849609375,11234.599609375,11347.5498046875,11501000,-0.0044531572893810045
2016-04-21,11320.650390625,11341.5498046875,11243.2001953125,11319.0498046875,10190000,0.004717141391169299
2016-04-22,11286.75,11344.849609375,11235.650390625,11278.0,9892000,-0.0029945621015797785
2016-04-25,11185.25,11302.2001953125,11154.0498046875,11296.0498046875,8408000,-0.008992845593284171
2016-04-26,11295.599609375,11307.5498046875,11114.5,11156.400390625,9767000,0.009865636384971177
2016-04-27,11270.5498046875,11285.7998046875,11212.150390625,11270.150390625,6227000,-0.0022176604654708942
2016-04-28,11179.400390625,11326.2998046875,11167.9501953125,11285.849609375,13366000,-0.008087397300226673
2016-04-29,11293.25,11321.400390625,11201.099609375,11222.25,8755000,0.010183874393699499
2016-05-02,11271.900390625,11317.0498046875,11246.900390625,11313.0498046875,5384000,-0.00189047522856578
2016-05-03,11148.150390625,11341.650390625,11119.0498046875,11277.099609375,14385000,-0.010978627889838721
2016-05-04,11182.0,11204.7001953125,11080.9501953125,11132.7001953125,7297000,0.0030363430873219244
2016-05-05,11233.400390625,11334.2001953125,11204.2001953125,11324.099609375,7508000,0.004596708158200569
2016-05-06,11121.400390625,11232.5,11110.599609375,11230.400390625,5050000,-0.009970266892068702
2016-05-09,11183.25,11232.150390625,11091.9501953125,11133.599609375,6412000,0.005561314870664802
2016-05-10,11266.849609375,11320.0,11181.5498046875,11216.849609375,7662000,0.007475430610511147
2016-05-11,11186.400390625,11274.5498046875,11126.2001953125,11198.25,7397000,-0.007140347261141988
2016-05-12,11264.599609375,11273.25,11175.5498046875,11203.7001953125,7623000,0.006990561397707262
2016-05-13,11157.650390625,11274.900390625,11143.849609375,11227.400390625,9899000,-0.009494276091357112
2016-05-16,11205.400390625,11258.5498046875,11186.75,11211.099609375,8318000,0.004279574850285739
2016-05-17,11251.650390625,11295.7001953125,11226.0498046875,11252.7001953125,9088000,0.0041274741095993495
2016-05-18,11271.2998046875,11294.0498046875,11178.099609375,11238.099609375,6820000,0.0017463583901320412
2016-05-19,11246.0,11334.0498046875,11230.349609375,11315.599609375,11441000,-0.0022446217495677434
2016-05-20,11070.650390625,11255.5498046875,11057.7998046875,11255.5498046875,12224000,-0.015592175829183708
2016-05-23,10958.5,11113.349609375,10933.099609375,11109.5498046875,9865000,-0.010130424741799482
2016-05-24,10851.150390625,10986.400390625,10819.900390625,10961.650390625,11056000,-0.009796013083451238
2016-05-25,10908.5498046875,10933.5498046875,10822.599609375,10880.650390625,20672000,0.005289707726481296
2016-05-26,10882.2001953125,10948.75,10841.0498046875,10928.099609375,11069000,-0.0024155006711962246
2016-05-27,11206.7998046875,11247.5,10973.25,10981.099609375,12929000,0.029828490888710313
2016-05-30,11175.0,11318.150390625,11140.650390625,11284.0,10666000,-0.002837545529652319
2016-05-31,10995.4501953125,11123.7001953125,10946.5498046875,11123.7001953125,28233000,-0.0160670966163311
2016-06-01,10957.2001953125,11088.7001953125,10945.75,11031.099609375,11763000,-0.0034787115871168783
2016-06-02,10902.099609375,10963.0,10863.099609375,10937.150390625,11195000,-0.005028710341631992
2016-06-03,10808.2001953125,10954.7998046875,10791.7001953125,10945.2998046875,12677000,-0.008612966073228034
2016-06-06,10678.849609375,10886.5498046875,10663.900390625,10886.5498046875,13732000,-0.011967819211342823
2016-06-07,10739.349609375,10791.5,10580.7001953125,10681.849609375,16172000,0.005665404253552442
2016-06-08,10716.5498046875,10790.400390625,10703.150390625,10774.2001953125,8088000,-0.0021230154075249086
2016-06-09,10665.400390625,10714.7001953125,10622.0498046875,10694.349609375,10824000,-0.0047729367188800165
2016-06-10,10657.599609375,10756.7998046875,10620.400390625,10657.2998046875,9391000,-0.0007314100703482707
2016-06-13,10706.599609375,10721.849609375,10603.400390625,10632.150390625,8526000,0.004597658177822428
2016-06-14,10781.400390625,10789.849609375,10716.2998046875,10734.75,8580000,0.006986418095293434
2016-06-15,10790.2998046875,10820.650390625,10776.650390625,10819.599609375,6810000,0.0008254413842414543
2016-06-16,10762.2001953125,10799.099609375,10664.9501953125,10799.099609375,9132000,-0.0026041546466385457
2016-06-17,10653.4501953125,10820.7001953125,10629.9501953125,10814.400390625,8997000,-0.010104811100556055
2016-06-20,10685.849609375,10723.5,10569.650390625,10636.7001953125,8308000,0.0030412132659853874
2016-06-21,10627.349609375,10738.150390625,10613.5498046875,10731.599609375,8191000,-0.005474529601153688
2016-06-22,10696.5,10731.599609375,10632.0,10672.150390625,8125000,0.00650683313965672
2016-06-23,10793.099609375,10821.099609375,10726.7998046875,10726.7998046875,9965000,0.009030954926845247
2016-06-24,10747.7998046875,10763.900390625,10499.0,10632.0,16360000,-0.004197107997423899
2016-06-27,10964.0498046875,10976.0,10747.2001953125,10750.0498046875,11777000,0.02012039709798885
2016-06-28,11035.349609375,11068.75,10968.2001953125,10968.2001953125,9768000,0.006503053703478923
2016-06-29,11084.7001953125,11149.099609375,11067.5498046875,11101.2001953125,7593000,0.004472045534069435
2016-06-30,11142.0,11203.099609375,11115.5,11173.7001953125,13629000,0.005169269685050271
2016-07-01,11250.900390625,11281.599609375,11213.0498046875,11215.849609375,7931000,0.009773863814844796
2016-07-04,11319.849609375,11380.75,11305.75,11346.150390625,6546000,0.006128328965337992
