date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/01/28 00:00:00+00,2019,1,28,chokepoint6,Strait of Hormuz,18,14,3,3,51,38,89,422317.506625494,533158.113998774,23678.213650182,9034.41364368789,2347286.05056194,988188.247918138,3335474.29848008,47383
2019/05/06 00:00:00+00,2019,5,6,chokepoint6,Strait of Hormuz,13,19,3,5,48,40,88,439565.429162703,611885.004439554,32603.3122103744,2277.82966099732,2112391.49385332,1086331.57547363,3198723.06932695,47386
2019/06/28 00:00:00+00,2019,6,28,chokepoint6,Strait of Hormuz,13,19,3,2,53,37,90,521493.673669416,699409.603461261,3891.15676223588,0,3248713.20882184,1224794.43389291,4473507.64271475,47387
2019/08/13 00:00:00+00,2019,8,13,chokepoint6,Strait of Hormuz,9,20,2,1,53,32,85,309466.226821085,532003.3246488,10114.8758728275,0,2402959.80093725,851584.427342712,3254544.22827996,47388
2019/01/29 00:00:00+00,2019,1,29,chokepoint6,Strait of Hormuz,9,8,4,2,50,23,73,384220.537028126,380360.885135362,21600.6649002906,6926.39008872991,3998971.07405977,793108.477152508,4792079.55121228,47389
2019/05/07 00:00:00+00,2019,5,7,chokepoint6,Strait of Hormuz,8,13,6,3,63,30,93,335946.465574319,245814.435241258,27287.3219272791,5299.53154760953,2120385.1228334,614347.754290465,2734732.87712386,47391
2019/06/29 00:00:00+00,2019,6,29,chokepoint6,Strait of Hormuz,10,13,7,0,60,30,90,460285.12506683,336835.491562493,41874.4120076632,0,2277200.12193911,838995.028636986,3116195.15057609,47393
2019/08/14 00:00:00+00,2019,8,14,chokepoint6,Strait of Hormuz,15,14,2,1,52,32,84,582296.440853183,406720.892940618,0,0,2258724.27857785,989017.3337938,3247741.61237165,47394
2019/01/30 00:00:00+00,2019,1,30,chokepoint6,Strait of Hormuz,7,20,7,3,47,37,84,118347.762116826,680764.776904733,22535.972703646,4234.45909914801,1455995.04019779,825882.970824352,2281878.01102214,47395
2019/05/08 00:00:00+00,2019,5,8,chokepoint6,Strait of Hormuz,15,20,4,1,63,40,103,428274.884128487,472852.49020757,19397.4393090687,2761.38964579019,3161755.75012101,923286.203290916,4085041.95341192,47397
2019/06/30 00:00:00+00,2019,6,30,chokepoint6,Strait of Hormuz,19,18,3,3,62,43,105,653857.849881162,582936.724143471,8211.59049290994,6952.65702121927,3011604.47136553,1251958.82153876,4263563.29290429,47399
2019/08/15 00:00:00+00,2019,8,15,chokepoint6,Strait of Hormuz,16,17,4,2,43,39,82,560725.490138547,579612.902690285,39484.0252045318,3743.7982147109,3184801.30694802,1183566.21624808,4368367.5231961,47400
2019/01/31 00:00:00+00,2019,1,31,chokepoint6,Strait of Hormuz,11,13,4,3,48,31,79,363073.803624901,368344.83146462,15181.2036640745,5614.01211811153,2520929.88234057,752213.850871707,3273143.73321228,47401
2019/05/09 00:00:00+00,2019,5,9,chokepoint6,Strait of Hormuz,17,24,5,1,48,47,95,405114.92177731,558586.97195114,32260.9353783036,6223.14166666667,2533345.7396189,1002185.97077342,3535531.71039232,47403
2019/07/01 00:00:00+00,2019,7,1,chokepoint6,Strait of Hormuz,16,21,4,2,57,43,100,590957.925345847,589745.643404885,7359.94166194206,6223.14166666667,2870069.27442269,1194286.65207934,4064355.92650203,47405
2019/08/16 00:00:00+00,2019,8,16,chokepoint6,Strait of Hormuz,9,8,4,1,50,22,72,530525.789446461,284972.065156613,58899.0337342952,5270.02441024443,2379396.85149818,879666.912747614,3259063.76424579,47406
