date,open,high,low,close,volume
2021-01-22,12020.3,12052.95,11842.7,11854.5,0
2021-01-25,11951.1,11967.4,11720.2,11748.2,0
2021-01-27,11744.3,11744.3,11511.75,11545.0,0
2021-01-28,11419.3,11502.9,11366.85,11446.65,0
2021-01-29,11549.85,11568.2,11274.45,11322.95,0
2021-02-01,11396.9,11805.1,11304.35,11805.1,0
2021-02-02,11921.7,12102.1,11918.5,12071.9,0
2021-02-03,12139.7,12234.3,12006.1,12172.1,0
2021-02-04,12184.65,12297.05,12141.9,12285.05,0
2021-02-05,12345.25,12385.85,12247.9,12291.5,0
2021-02-08,12389.5,12468.95,12382.8,12450.4,0
2021-02-09,12487.6,12544.7,12396.8,12438.4,0
2021-02-10,12452.95,12489.9,12347.4,12473.05,0
2021-02-11,12433.5,12522.45,12427.05,12515.0,0
2021-02-12,12531.35,12570.25,12443.4,12506.8,0
2021-02-15,12592.0,12648.6,12583.2,12643.05,0
2021-02-16,12679.65,12724.3,12581.5,12651.05,0
2021-02-17,12631.1,12669.5,12561.8,12587.75,0
2021-02-18,12633.3,12654.85,12535.95,12563.15,0
2021-02-19,12540.85,12592.0,12361.2,12455.85,0
2021-02-22,12457.25,12470.85,12175.2,12184.8,0
2021-02-23,12294.3,12355.75,12191.45,12271.35,0
2021-02-24,12299.55,12363.0,12295.15,12360.35,0
2021-02-25,12543.5,12613.95,12537.2,12576.1,0
2021-02-26,12401.05,12448.75,12134.95,12171.6,0
2021-03-01,12316.3,12395.6,12272.2,12385.2,0
2021-03-02,12458.35,12548.15,12386.15,12536.2,0
2021-03-03,12635.85,12780.6,12603.5,12761.05,0
2021-03-04,12607.55,12770.85,12590.85,12691.95,0
2021-03-05,12621.95,12696.25,12478.85,12559.7,0
2021-03-08,12607.05,12682.05,12535.15,12564.5,0
2021-03-09,12638.4,12678.95,12495.15,12618.2,0
2021-03-10,12705.1,12721.65,12628.05,12686.6,0
2021-03-12,12806.15,12814.95,12535.15,12589.6,0
2021-03-15,12623.05,12623.05,12365.0,12505.25,0
2021-03-16,12564.8,12600.8,12488.2,12519.35,0
2021-03-17,12540.15,12544.9,12301.25,12309.3,0
2021-03-18,12426.9,12449.2,12100.85,12195.2,0
2021-03-19,12096.8,12341.7,11951.85,12308.4,0
2021-03-22,12322.75,12360.25,12235.95,12346.25,0
2021-03-23,12375.4,12461.75,12341.3,12410.75,0
2021-03-24,12346.05,12390.4,12184.6,12209.3,0
2021-03-25,12218.8,12218.8,11939.65,12008.4,0
2021-03-26,12134.75,12191.25,12072.5,12158.55,0
2021-03-30,12256.0,12402.85,12250.2,12395.75,0
2021-03-31,12376.8,12376.8,12299.0,12313.05,0
2021-04-01,12401.35,12492.1,12334.7,12477.0,0
2021-04-05,12463.7,12464.05,12149.55,12306.9,0
2021-04-06,12374.7,12422.4,12256.05,12371.55,0
2021-04-07,12389.25,12510.6,12349.75,12473.25,0
2021-04-08,12533.45,12623.75,12501.8,12544.65,0
2021-04-09,12552.9,12591.8,12490.25,12528.7,0
2021-04-12,12357.35,12357.35,11978.85,12052.45,0
2021-04-13,12068.05,12200.35,12008.15,12198.1,0
2021-04-15,12189.8,12248.45,12055.95,12240.65,0
2021-04-16,12261.9,12357.55,12233.65,12276.25,0
2021-04-19,12032.75,12094.4,11923.85,12076.75,0
2021-04-20,12213.55,12232.55,11982.5,12043.25,0
2021-04-22,11997.2,12147.15,11951.35,12126.5,0
2021-04-23,12086.2,12199.1,12045.3,12099.35,0
2021-04-26,12197.1,12263.2,12181.5,12220.8,0
2021-04-27,12238.55,12373.6,12235.65,12367.35,0
2021-04-28,12422.5,12536.65,12414.2,12505.7,0
2021-04-29,12613.8,12658.95,12472.2,12528.75,0
2021-04-30,12425.8,12523.95,12341.65,12353.7,0
2021-05-03,12256.85,12418.65,12211.25,12405.15,0
2021-05-04,12457.4,12486.15,12272.9,12311.95,0
2021-05-05,12394.85,12426.65,12321.05,12425.55,0
2021-05-06,12465.7,12513.8,12408.0,12506.85,0
2021-05-07,12579.9,12600.1,12527.75,12552.9,0
2021-05-10,12649.45,12685.7,12626.05,12677.65,0
2021-05-11,12559.95,12675.15,12540.35,12637.9,0
2021-05-12,12646.25,12646.25,12496.95,12541.5,0
2021-05-14,12595.15,12595.15,12408.3,12476.6,0
2021-05-17,12544.55,12682.7,12512.15,12675.7,0
2021-05-18,12794.95,12855.4,12783.75,12844.2,0
2021-05-19,12816.55,12882.2,12791.5,12801.35,0
2021-05-20,12831.3,12854.15,12718.35,12748.7,0
2021-05-21,12815.55,12928.6,12803.7,12924.25,0
2021-05-24,12963.0,13003.45,12912.65,12956.3,0
2021-05-25,13045.4,13045.4,12929.35,12972.0,0
2021-05-26,13010.0,13043.55,12954.4,13023.15,0
2021-05-27,13052.85,13091.3,13007.85,13085.85,0
2021-05-28,13134.7,13159.85,13099.3,13127.3,0
2021-05-31,13135.85,13243.45,13081.05,13224.1,0
2021-06-01,13274.25,13292.05,13164.95,13208.65,0
2021-06-02,13183.8,13290.5,13178.3,13283.8,0
2021-06-03,13347.05,13392.05,13332.25,13379.15,0
2021-06-04,13412.75,13433.5,13352.35,13392.3,0
2021-06-07,13454.1,13498.15,13419.5,13476.45,0
2021-06-08,13510.05,13511.35,13420.75,13498.0,0
2021-06-09,13532.2,13569.7,13334.35,13404.95,0
2021-06-10,13458.65,13524.75,13432.0,13521.35,0
2021-06-11,13577.05,13600.6,13514.05,13569.45,0
2021-06-14,13551.75,13564.95,13343.0,13555.8,0
2021-06-15,13601.35,13634.15,13589.35,13600.2,0
2021-06-16,13595.1,13621.15,13487.7,13497.2,0
2021-06-17,13405.9,13520.75,13373.0,13418.05,0
2021-06-18,13471.9,13474.0,13155.95,13411.65,0
2021-06-21,13240.9,13468.35,13221.55,13457.15,0
2021-06-22,13543.4,13589.4,13474.5,13485.8,0
2021-06-23,13570.1,13570.1,13412.65,13428.2,0
2021-06-24,13460.8,13486.5,13434.65,13472.95,0
2021-06-25,13512.15,13548.95,13471.2,13531.35,0
2021-06-28,13589.75,13589.75,13515.35,13541.4,0
2021-06-29,13535.55,13567.45,13461.45,13486.75,0
2021-06-30,13513.25,13552.9,13463.2,13481.2,0
2021-07-01,13504.7,13504.7,13442.0,13464.6,0
2021-07-02,13480.3,13505.4,13435.4,13499.9,0
2021-07-05,13558.4,13593.35,13538.4,13589.9,0
2021-07-06,13579.15,13661.8,13562.05,13575.75,0
2021-07-07,13577.5,13644.0,13542.6,13633.5,0
2021-07-08,13627.7,13660.35,13488.55,13535.0,0
2021-07-09,13513.5,13545.5,13471.2,13533.1,0
2021-07-12,13603.6,13619.9,13513.0,13547.95,0
2021-07-13,13633.1,13634.9,13580.55,13626.75,0
2021-07-14,13638.3,13678.55,13606.65,13655.45,0
2021-07-15,13686.35,13738.55,13679.9,13717.45,0
2021-07-16,13756.75,13761.05,13706.5,13742.85,0
2021-07-19,13624.3,13693.25,13573.75,13625.1,0
2021-07-20,13594.85,13614.2,13437.3,13487.15,0
2021-07-22,13592.4,13678.75,13591.25,13675.55,0
2021-07-23,13711.25,13728.0,13630.25,13682.4,0
2021-07-26,13692.2,13730.8,13650.75,13674.0,0
2021-07-27,13715.15,13740.9,13569.95,13613.1,0
2021-07-28,13631.55,13631.55,13409.9,13584.4,0
2021-07-29,13631.5,13668.55,13609.3,13648.65,0
2021-07-30,13671.55,13739.45,13638.3,13673.6,0
2021-08-02,13759.8,13789.4,13734.25,13787.0,0
2021-08-03,13840.6,13949.75,13819.0,13937.6,0
2021-08-04,13998.05,14044.5,13944.5,13964.2,0
2021-08-05,14000.9,14002.7,13892.0,13975.8,0
2021-08-06,13996.6,14029.4,13946.3,13965.8,0
2021-08-09,13993.6,14007.45,13870.5,13932.7,0
2021-08-10,13957.6,13996.85,13809.95,13883.5,0
2021-08-11,13924.05,13938.3,13716.7,13874.0,0
2021-08-12,13901.1,13979.6,13884.3,13971.6,0
2021-08-13,13997.75,14079.3,13994.45,14054.4,0
2021-08-16,14063.75,14087.1,14017.3,14057.85,0
2021-08-17,14063.9,14123.35,14011.05,14105.9,0
2021-08-18,14171.05,14185.95,14072.5,14080.75,0
2021-08-20,13951.5,14047.8,13910.35,13913.8,0
2021-08-23,14063.35,14063.35,13841.35,13922.75,0
2021-08-24,13986.95,14075.45,13942.95,14059.05,0
2021-08-25,14103.1,14145.05,14070.7,14096.05,0
2021-08-26,14106.45,14146.7,14075.0,14106.05,0
2021-08-27,14126.3,14203.55,14064.55,14181.85,0
2021-08-30,14257.4,14411.5,14252.3,14401.0,0
2021-08-31,14421.3,14571.05,14393.85,14555.75,0
2021-09-01,14611.65,14640.35,14527.25,14539.7,0
2021-09-02,14571.3,14691.95,14549.1,14682.45,0
2021-09-03,14724.7,14770.4,14682.35,14754.05,0
2021-09-06,14827.05,14843.05,14783.5,14807.75,0
2021-09-07,14834.95,14851.25,14713.8,14780.2,0
